flowerId,sepalLength,sepalWidth,petalLength,petalWidth,species
iris-081,5.5,2.4,3.8,1.1,versicolor
iris-082,5.5,2.4,3.7,1,versicolor
iris-083,5.8,2.7,3.9,1.2,versicolor
iris-084,6,2.7,5.1,1.6,versicolor
iris-085,5.4,3,4.5,1.5,versicolor
iris-086,6,3.4,4.5,1.6,versicolor
iris-087,6.7,3.1,4.7,1.5,versicolor
iris-088,6.3,2.3,4.4,1.3,versicolor
iris-089,5.6,3,4.1,1.3,versicolor
iris-090,5.5,2.5,4,1.3,versicolor
iris-091,5.5,2.6,4.4,1.2,versicolor
iris-092,6.1,3,4.6,1.4,versicolor
iris-093,5.8,2.6,4,1.2,versicolor
iris-094,5,2.3,3.3,1,versicolor
iris-095,5.6,2.7,4.2,1.3,versicolor
iris-096,5.7,3,4.2,1.2,versicolor
iris-097,5.7,2.9,4.2,1.3,versicolor
iris-098,6.2,2.9,4.3,1.3,versicolor
iris-099,5.1,2.5,3,1.1,versicolor
iris-100,5.7,2.8,4.1,1.3,versicolor
iris-101,6.3,3.3,6,2.5,virginica
iris-102,5.8,2.7,5.1,1.9,virginica
iris-103,7.1,3,5.9,2.1,virginica
iris-104,6.3,2.9,5.6,1.8,virginica
iris-105,6.5,3,5.8,2.2,virginica
iris-106,7.6,3,6.6,2.1,virginica
iris-107,4.9,2.5,4.5,1.7,virginica
iris-108,7.3,2.9,6.3,1.8,virginica
iris-109,6.7,2.5,5.8,1.8,virginica
iris-110,7.2,3.6,6.1,2.5,virginica
iris-111,6.5,3.2,5.1,2,virginica
iris-112,6.4,2.7,5.3,1.9,virginica
iris-113,6.8,3,5.5,2.1,virginica
iris-114,5.7,2.5,5,2,virginica
iris-115,5.8,2.8,5.1,2.4,virginica
iris-116,6.4,3.2,5.3,2.3,virginica
iris-117,6.5,3,5.5,1.8,virginica
iris-118,7.7,3.8,6.7,2.2,virginica
iris-119,7.7,2.6,6.9,2.3,virginica
iris-120,6,2.2,5,1.5,virginica
iris-121,6.9,3.2,5.7,2.3,virginica
iris-122,5.6,2.8,4.9,2,virginica
iris-123,7.7,2.8,6.7,2,virginica
iris-124,6.3,2.7,4.9,1.8,virginica
iris-125,6.7,3.3,5.7,2.1,virginica
iris-126,7.2,3.2,6,1.8,virginica
iris-127,6.2,2.8,4.8,1.8,virginica
iris-128,6.1,3,4.9,1.8,virginica
iris-129,6.4,2.8,5.6,2.1,virginica
iris-130,7.2,3,5.8,1.6,virginica
iris-131,7.4,2.8,6.1,1.9,virginica
iris-132,7.9,3.8,6.4,2,virginica
iris-133,6.4,2.8,5.6,2.2,virginica
iris-134,6.3,2.8,5.1,1.5,virginica
iris-135,6.1,2.6,5.6,1.4,virginica
iris-136,7.7,3,6.1,2.3,virginica
iris-137,6.3,3.4,5.6,2.4,virginica
iris-138,6.4,3.1,5.5,1.8,virginica
iris-139,6,3,4.8,1.8,virginica
iris-140,6.9,3.1,5.4,2.1,virginica
iris-141,6.7,3.1,5.6,2.4,virginica
iris-142,6.9,3.1,5.1,2.3,virginica
iris-143,5.8,2.7,5.1,1.9,virginica
iris-144,6.8,3.2,5.9,2.3,virginica
iris-145,6.7,3.3,5.7,2.5,virginica
iris-146,6.7,3,5.2,2.3,virginica
iris-147,6.3,2.5,5,1.9,virginica
iris-148,6.5,3,5.2,2,virginica
iris-149,6.2,3.4,5.4,2.3,virginica
iris-150,5.9,3,5.1,1.8,virginica
